temp_treat,little_r,little_d,little_b
20-20,0.27327372639349934,0.010681529302742595,0.2839552556962419
20-20,0.27393032312840815,0.01117415008469714,0.2851044732131053
20-20,0.2763647466922303,0.01608417783949316,0.2924489245317235
20-20,0.27385789155441065,0.01190331324943799,0.28576120480384865
20-20,0.27395126550457544,0.010262761247741182,0.2842140267523166
20-20,0.2741493835873187,0.011803120039318812,0.28595250362663754
20-20,0.27219089875800984,0.011903623877347067,0.2840945226353569
20-20,0.2741590376891565,0.00826212084921256,0.2824211585383691
20-20,0.2700418838015546,0.010044892346673459,0.280086776148228
20-20,0.27452911012136805,0.00733754240866878,0.28186665253003684
20-20,0.27414773133531445,0.012980156725160293,0.28712788806047473
20-20,0.2724117351608898,0.01065160494432618,0.28306334010521594
20-20,0.2763541054385876,0.007733469885454107,0.2840875753240417
20-20,0.27453217381963063,0.00880169407223979,0.28333386789187043
20-20,0.27690585169932874,0.01369127757679969,0.2905971292761284
20-20,0.2750259255922603,0.015104156747841414,0.29013008234010174
20-20,0.27794484547939874,0.012276518696715647,0.2902213641761144
20-20,0.27130944624059666,0.01059397981895298,0.28190342605954966
20-20,0.2717246412770599,0.015665590242468937,0.28739023151952886
20-20,0.27360617533121384,0.01678285499840097,0.29038903032961483
20-20,0.27259509606094184,0.014148529930108199,0.28674362599105
20-20,0.27445180018250104,0.015160048330840736,0.28961184851334176
20-20,0.27250125905532213,0.014336198035437876,0.28683745709076003
20-20,0.27054781850678067,0.011830564456302678,0.2823783829630834
20-20,0.2731872628066108,0.01449158365833502,0.28767884646494585
20-20,0.27236280640199534,0.015085163362708251,0.2874479697647036
20-20,0.27277779097317173,0.009710586925915539,0.28248837789908726
20-20,0.2720934844722299,0.013561160147517584,0.2856546446197475
20-20,0.2721125570062656,0.011208833366909069,0.28332139037317466
20-20,0.27204091256356355,0.011857508586598516,0.28389842115016206
20-20,0.27229015611610946,0.011046165277619223,0.28333632139372866
20-20,0.2756205226581382,0.011023068570766983,0.28664359122890515
20-20,0.27425550576063573,0.011110444243304728,0.28536595000394044
20-20,0.27661695610224807,0.011855870163600062,0.28847282626584814
20-20,0.2713280272265044,0.011651337449326588,0.28297936467583096
20-20,0.2732788539199764,0.009841075338641987,0.2831199292586184
20-20,0.2749072416169394,0.012006292120897613,0.286913533737837
20-20,0.27072366890508637,0.010907840148801796,0.2816315090538882
20-20,0.27509032364419833,0.010130114892678737,0.28522043853687706
20-20,0.2699339746781083,0.013110932311228951,0.28304490698933726
20-20,0.2716217181967934,0.013123527772479994,0.2847452459692734
20-20,0.27081727939235667,0.01211746435308422,0.28293474374544086
20-20,0.2738557646553984,0.010955502154019896,0.2848112668094183
20-20,0.27701527910503426,0.009492466085674434,0.2865077451907087
20-20,0.2688077463035722,0.010860427338768899,0.2796681736423411
20-20,0.2704947868525879,0.014363501538185722,0.2848582883907736
20-20,0.2697858518193978,0.01401357884552937,0.2837994306649272
20-20,0.2772262681839073,0.009794200072827036,0.28702046825673433
20-20,0.2723176471427447,0.010596691425806208,0.2829143385685509
20-20,0.2691860463925826,0.01389694160284043,0.28308298799542303
20-20,0.27293986024654365,0.008352987376867682,0.28129284762341134
20-20,0.27303508350835864,0.011925898098640234,0.2849609816069989
20-20,0.27802344032499826,0.007273742247951155,0.2852971825729494
20-20,0.27419374497595755,0.009667817676870444,0.283861562652828
20-20,0.2735829922225594,0.013650640180156251,0.28723363240271566
20-20,0.2733916511356581,0.007631367365490468,0.2810230185011486
20-20,0.27166281302000284,0.009648611698640015,0.28131142471864284
20-20,0.27356033196309654,0.009472876831626358,0.2830332087947229
20-20,0.2726247919322454,0.00894715842730031,0.28157195035954574
20-20,0.2708859049973811,0.011244719042969083,0.28213062404035016
20-20,0.2738845303400568,0.011752134736570687,0.28563666507662744
20-20,0.2678679171494908,0.008007624624511668,0.2758755417740025
20-20,0.27496699622678783,0.011064057591765823,0.28603105381855365
20-20,0.270516911581773,0.015025935668593277,0.28554284725036627
20-20,0.27403890655261465,0.009361129892907974,0.28340003644552264
20-20,0.2733584549807807,0.014212051380450709,0.28757050636123144
20-20,0.27264343687544385,0.009188420792465884,0.28183185766790975
